id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade,texto_analise,score_perspective_max,latencia_api,detalhe_toxicity,detalhe_severe,detalhe_identity,detalhe_insult,tipo_origem
comentario_650457,"A primeira a ser machucada é a esposa chifruda que só não se sentirá machucada se não amar o marido e os filhos, claro, quando descobrirem o cafajeste do pai que têm e ficarem solidários com a dor da mãe 💥",0,1,"A primeira a ser machucada é a esposa chifruda que só não se sentirá machucada se não amar o marido e os filhos, claro, quando descobrirem o cafajeste do pai que têm e ficarem solidários com a dor da mãe 💥",0.36798462,0.27591443061828613,0.3389984,0.023927659,0.07508347,0.36798462,comentarios
comentario_2890260,"O Renan só fala merda, cara. Ele até tem um conteúdo legal, fala das leis e etc, mas o cara é todo arrogante, cheio de caras e bocas. É aquela coisa, pegar o que é bom do conteúdo dele, e o resto ignorar.",0,1,"O Renan só fala merda, cara. Ele até tem um conteúdo legal, fala das leis e etc, mas o cara é todo arrogante, cheio de caras e bocas. É aquela coisa, pegar o que é bom do conteúdo dele, e o resto ignorar.",0.6261769,0.2685275077819824,0.5885171,0.16960317,0.04332388,0.6261769,comentarios
comentario_1137856,"DO FUSCA, DO CHIFRE, DA MORTE  NINGUÉM  ESCAPA; ATÉ  PORQUE  O CORNO(A) NA MAIORIA  DAS  VEZES NEM FICA SABENDO.",0,0,"DO FUSCA, DO CHIFRE, DA MORTE  NINGUÉM  ESCAPA; ATÉ  PORQUE  O CORNO(A) NA MAIORIA  DAS  VEZES NEM FICA SABENDO.",0.2412222,0.283449649810791,0.2412222,0.016190045,0.014551271,0.15343215,comentarios
comentario_1642042,Só quem trabalhou ou trabalha em um ambiente que só tem mulher sabe como funciona.Parece que vira uma chave na cabeça das fêmeas!,1,1,Só quem trabalhou ou trabalha em um ambiente que só tem mulher sabe como funciona.Parece que vira uma chave na cabeça das fêmeas!,0.1693855,0.2745826244354248,0.1693855,0.0118255615,0.14875233,0.0838533,comentarios
comentario_2137989,"Você só vai fazer ela feliz com seu dinheirinho...mas quem vai traça-la é outro cara, você não otário!!!😅😅",1,1,"Você só vai fazer ela feliz com seu dinheirinho...mas quem vai traça-la é outro cara, você não otário!!!😅😅",0.47357693,0.29753851890563965,0.42129645,0.016641939,0.009212466,0.47357693,comentarios
comentario_2229499,"@  Pergunte pro seus políticos. Acho que é até impressionante que eles permitam as pessoas se esterilizarem aos 21 sem ter filhos, considerando nossa crise demográfica. Se você tem entre 18 e 21 talvez você possa criar uma história e mentir que já tem 2 filhos, se não me engano eles não investigam nada.",0,0,"@  Pergunte pro seus políticos. Acho que é até impressionante que eles permitam as pessoas se esterilizarem aos 21 sem ter filhos, considerando nossa crise demográfica. Se você tem entre 18 e 21 talvez você possa criar uma história e mentir que já tem 2 filhos, se não me engano eles não investigam nada.",0.13041082,0.2886025905609131,0.13041082,0.0024414063,0.008250522,0.06722072,comentarios
comentario_1289511,"Ela não tem motivos pra mandar ele embora, mais ele tem motivo pra ir embora. Mulher louca",1,1,"Ela não tem motivos pra mandar ele embora, mais ele tem motivo pra ir embora. Mulher louca",0.53014356,0.33329319953918457,0.4475325,0.021548226,0.12440576,0.53014356,comentarios
comentario_259973,"Eles deveriam ser presos na hora em que abrissem o processo, mais o Brasil e formado por milhões de pessoas algumas com formação academia e. Vidas bem estruturadas e muitas com religiões diversas, mais as pessoas só criticam e xingam fazendo intrigas disso ou daquilo mais não agem temos que defender a atitude dessas empresas nos somos o Brasil temos que agir",0,1,"Eles deveriam ser presos na hora em que abrissem o processo, mais o Brasil e formado por milhões de pessoas algumas com formação academia e. Vidas bem estruturadas e muitas com religiões diversas, mais as pessoas só criticam e xingam fazendo intrigas disso ou daquilo mais não agem temos que defender a atitude dessas empresas nos somos o Brasil temos que agir",0.11336674,0.3145124912261963,0.11336674,0.004425049,0.022188433,0.0777699,comentarios
comentario_2062341,50 mil é pouco. Falta ainda o boicote a esse tipinho de empresa!,0,1,50 mil é pouco. Falta ainda o boicote a esse tipinho de empresa!,0.19219314,0.28209400177001953,0.19219314,0.0031471252,0.017163984,0.14150882,comentarios
comentario_820468,"homens entendam, pra um homem com condicionamento fisico o trabakho domestico parece mais leve etc mas pra mulher nao é cara, raciocina cara, se tem filhos a coisa piora, elas n tem tanto testo ou condicionamento q tu tem.e jamais desmereça ou faça pouco do papel da mulher. ja vi cara falar como se fosse facil ou mais facil etc mas n é, n existe só cansaço fisico, tb cansaço mental meu fi e o mental tb é ruim igual, os filhos por ex podem dar um cansaço mental q...ajude e como recompensa ela estara de melhor humor",0,0,"homens entendam, pra um homem com condicionamento fisico o trabakho domestico parece mais leve etc mas pra mulher nao é cara, raciocina cara, se tem filhos a coisa piora, elas n tem tanto testo ou condicionamento q tu tem.e jamais desmereça ou faça pouco do papel da mulher. ja vi cara falar como se fosse facil ou mais facil etc mas n é, n existe só cansaço fisico, tb cansaço mental meu fi e o mental tb é ruim igual, os filhos por ex podem dar um cansaço mental q...ajude e como recompensa ela estara de melhor humor",0.18174082,0.3217892646789551,0.18174082,0.015609037,0.10221587,0.08508729,comentarios
comentario_2259119,Claro  que  as  mulheres  precisam  se  cuidar   mais  quando  existe  amor e  foi  o  espírito  santo quem  colocou  o sentimento não  há   lugar pra outra mulher.,1,0,Claro  que  as  mulheres  precisam  se  cuidar   mais  quando  existe  amor e  foi  o  espírito  santo quem  colocou  o sentimento não  há   lugar pra outra mulher.,0.20680901,0.2741360664367676,0.19314334,0.012207031,0.20680901,0.082619295,comentarios
comentario_2018459,Melhor coisa: aplicar o dinheiro e pagar aluguel!,0,0,Melhor coisa: aplicar o dinheiro e pagar aluguel!,0.013005874,0.27484726905822754,0.013005874,0.0006389618,0.0011284347,0.009374888,comentarios
comentario_1643929,"Mulher tem obrigação de trabalhar, assim como o homem. Ninguém tem obrigação de sustentar ninguém.",0,0,"Mulher tem obrigação de trabalhar, assim como o homem. Ninguém tem obrigação de sustentar ninguém.",0.026028076,0.2721672058105469,0.026028076,0.0011491776,0.015455672,0.012376905,comentarios
comentario_1623967,Renatão se acaba de rir com feno Grego kkkkkk. 😂😂😂,0,0,Renatão se acaba de rir com feno Grego kkkkkk. 😂😂😂,0.06500591,0.26827073097229004,0.06500591,0.0020885468,0.006770608,0.03489272,comentarios
comentario_2784648,"O pior de tudo mano as vezes agente dá de tudo ah uma mulher até msm sem poder só pra agradar, mas vem outro que nunca deu ah ela nem um chiclete, e ela traí o marido e ainda quer que agente perdoa ponto final Fim sem choro.",1,1,"O pior de tudo mano as vezes agente dá de tudo ah uma mulher até msm sem poder só pra agradar, mas vem outro que nunca deu ah ela nem um chiclete, e ela traí o marido e ainda quer que agente perdoa ponto final Fim sem choro.",0.2524482,0.2846369743347168,0.2524482,0.015221698,0.06476828,0.16839184,comentarios
comentario_1157017,Tá resolvido seu problema.pricyra um psiquiatra e se interna definitivamente.vc só precisa ser internada só isso,0,1,Tá resolvido seu problema.pricyra um psiquiatra e se interna definitivamente.vc só precisa ser internada só isso,0.34203702,0.32902956008911133,0.3367073,0.023076924,0.027413858,0.34203702,comentarios
comentario_1676800,@  Cuidado com o mecanismo da projeção! Kkk,0,0,@  Cuidado com o mecanismo da projeção! Kkk,0.13388206,0.2653312683105469,0.13388206,0.007209778,0.016259583,0.042665333,comentarios
comentario_2556544,"O padre me chamou atenção por ir de bermuda na igreja católica mas fora da igreja eu uso bermuda, sou muito infantil pois prefiro comprar action figure do que pagar jantar para futura esposa de alguém",0,0,"O padre me chamou atenção por ir de bermuda na igreja católica mas fora da igreja eu uso bermuda, sou muito infantil pois prefiro comprar action figure do que pagar jantar para futura esposa de alguém",0.10045706,0.2837488651275635,0.10045706,0.004043579,0.04306607,0.03335018,comentarios
comentario_233589,"Mas uma mulher chamar o cara de viado nao pode ser considerado homofobia? Afinal o cara pode se declarar viado mesmo, e se considerar ofendido pela mocréia.E agora?",1,1,"Mas uma mulher chamar o cara de viado nao pode ser considerado homofobia? Afinal o cara pode se declarar viado mesmo, e se considerar ofendido pela mocréia.E agora?",0.39441586,0.3035159111022949,0.39441586,0.16960317,0.37361985,0.36537176,comentarios
comentario_1608440,"Nossa tadinho... Não foi escondido , pois vc já sabe. Sai fora se vc conseguir",0,0,"Nossa tadinho... Não foi escondido , pois vc já sabe. Sai fora se vc conseguir",0.1269396,0.31830453872680664,0.1269396,0.0034713745,0.0035702933,0.07523532,comentarios
comentario_1150453,"Esse tal(Cariani) é o da ""cocaína""?",0,0,"Esse tal(Cariani) é o da ""cocaína""?",0.3388922,0.3035702705383301,0.3047732,0.016706496,0.07012023,0.3388922,comentarios
comentario_1342166,Isso só serve para fazer sabão 😂😂😂😂,0,0,Isso só serve para fazer sabão 😂😂😂😂,0.035220183,0.22992563247680664,0.035220183,0.0013637543,0.0020533812,0.016024929,comentarios
comentario_890207,"Gente dê boa, essas mulheres estão sem noção da vida 😜 eu sou cara nem 😅 pensei que fosse gp😅",1,1,"Gente dê boa, essas mulheres estão sem noção da vida 😜 eu sou cara nem 😅 pensei que fosse gp😅",0.4339631,0.29422926902770996,0.41168427,0.02373986,0.38230872,0.4339631,comentarios
comentario_2940627,"Estão menos sensíveis.Nós anos 60, éramos livres na ditadura, a liberdade era interior..O que me fortalece é a religião.Amo !",0,1,"Estão menos sensíveis.Nós anos 60, éramos livres na ditadura, a liberdade era interior..O que me fortalece é a religião.Amo !",0.046120718,0.30518245697021484,0.046120718,0.00166893,0.020178653,0.022964163,comentarios
comentario_1760077,"Mais claro que essa mensagem impossível, e p fechar com excelência, trecho do clube da luta , forte abraço Thomé , somos nós por nós mesmo!",0,0,"Mais claro que essa mensagem impossível, e p fechar com excelência, trecho do clube da luta , forte abraço Thomé , somos nós por nós mesmo!",0.0069048726,0.2952897548675537,0.005937464,0.0003015995,0.00094344537,0.0069048726,comentarios
comentario_273860,Olha a porcaria que esse país está se tornando bicho. Esses infelizes que fizeram o L ferrou todo mundo 🤦🏽‍♂️🤬,0,1,Olha a porcaria que esse país está se tornando bicho. Esses infelizes que fizeram o L ferrou todo mundo 🤦🏽‍♂️🤬,0.64447093,0.2895545959472656,0.64447093,0.35368225,0.46028158,0.6261769,comentarios
comentario_1466933,"Não se preocupe, tem muitas mulheres que gostam de fazer caridade no trabalho distribuindo a pepeka pros homens nas empresas, principalmente se o cara for o proprietário ou gerente. CONFIA MIQUEINHA NA SUA HONRRADINHA!!!  Não se preocupe, ela deve estar jogando sinuca, acariciando com a mão e com a boca as bolas e o taco. 🤮💩🤬👿🤡Namoro, casamento e filhos não servem pra nada na vida de um homem pois é só despesa financeira e muita dor de cabeça pro homem ter mulher dentro de casa. Eu por exemplo, só me relaciono com garotas de programa pois gastamos menos e nos divertimos mais nesta vida. Lembrem-se que mulher não gosta de homem, elas gostam é de dinheiro. E além do mais, a maioria esmagadora das mulheres são feministas, narcisistas, tóxicas e abusivas e ainda pregam o ódio contra nós homens dizendo que não prestamos, temos que morrer e desaparecer da face da terra. HOMENS, não se iludam com essas mulheres/feministas, narcisistas, tóxicas e abusivas atualmente, pois se você quiser ter sérios e graves problemas na sua vida, passar por situações idênticas e muito piores a que outros homens estão passando ou já passaram, se tornar refém, ter a sua vida transformada num caos, num calvário, num inferno, perder a sua paz, a sua sanidade mental, a sua tranquilidade, a sua qualidade de vida, sua saúde, suas forças, suas ótimas noites de sono, seu bem-estar, sua alegria de viver, seu sossego, a sua liberdade, seu dinheiro/patrimônio, sofrer falsas acusações e ainda poder ser preso. É muito fácil: seja mais um a cair no golpe do namoro firme, do ficar noivo, do morar juntos e do casamento. Não tem erro, a sua vida nunca mais será a mesma. Assim, além de sofrer horrores, você descobrirá pela dor o quanto ser um homem solteiro convicto é uma dádiva, é maravilhoso e é acima de tudo a suprema felicidade. A vida é feita de escolhas. Então, faça as suas!!! REDPILL AND MGTOW FOREVER.",1,1,"Não se preocupe, tem muitas mulheres que gostam de fazer caridade no trabalho distribuindo a pepeka pros homens nas empresas, principalmente se o cara for o proprietário ou gerente. CONFIA MIQUEINHA NA SUA HONRRADINHA!!!  Não se preocupe, ela deve estar jogando sinuca, acariciando com a mão e com a boca as bolas e o taco. 🤮💩🤬👿🤡Namoro, casamento e filhos não servem pra nada na vida de um homem pois é só despesa financeira e muita dor de cabeça pro homem ter mulher dentro de casa. Eu por exemplo, só me relaciono com garotas de programa pois gastamos menos e nos divertimos mais nesta vida. Lembrem-se que mulher não gosta de homem, elas gostam é de dinheiro. E além do mais, a maioria esmagadora das mulheres são feministas, narcisistas, tóxicas e abusivas e ainda pregam o ódio contra nós homens dizendo que não prestamos, temos que morrer e desaparecer da face da terra. HOMENS, não se iludam com essas mulheres/feministas, narcisistas, tóxicas e abusivas atualmente, pois se você quiser ter sérios e graves problemas na sua vida, passar por situações idênticas e muito piores a que outros homens estão passando ou já passaram, se tornar refém, ter a sua vida transformada num caos, num calvário, num inferno, perder a sua paz, a sua sanidade mental, a sua tranquilidade, a sua qualidade de vida, sua saúde, suas forças, suas ótimas noites de sono, seu bem-estar, sua alegria de viver, seu sossego, a sua liberdade, seu dinheiro/patrimônio, sofrer falsas acusações e ainda poder ser preso. É muito fácil: seja mais um a cair no golpe do namoro firme, do ficar noivo, do morar juntos e do casamento. Não tem erro, a sua vida nunca mais será a mesma. Assim, além de sofrer horrores, você descobrirá pela dor o quanto ser um homem solteiro convicto é uma dádiva, é maravilhoso e é acima de tudo a suprema felicidade. A vida é feita de escolhas. Então, faça as suas!!! REDPILL AND MGTOW FOREVER.",0.4339631,0.2328190803527832,0.40614098,0.16960317,0.2854555,0.4339631,comentarios
comentario_977259,Postando isso na internet se fazendo de vitima. Deve ser por isso que pulou fora.Capaz que foi ela que terminou e agora ta enxendo o saco. Quero mais contexto.,0,1,Postando isso na internet se fazendo de vitima. Deve ser por isso que pulou fora.Capaz que foi ela que terminou e agora ta enxendo o saco. Quero mais contexto.,0.25462922,0.26496386528015137,0.25462922,0.012703998,0.0052166977,0.11172232,comentarios
comentario_194284,Eu te raspo já raspei minha esposa,1,1,Eu te raspo já raspei minha esposa,0.4977744,0.3003268241882324,0.4977744,0.2391185,0.08004672,0.27146968,comentarios
comentario_1216661,Ele é Jôvem e no momento  certo  vai encontrar  alguém,0,0,Ele é Jôvem e no momento  certo  vai encontrar  alguém,0.011937759,0.30390453338623047,0.011937759,0.0006866455,0.0016464046,0.010248893,comentarios
comentario_1051446,Estão destruído o bem privado de alguém!!!,0,0,Estão destruído o bem privado de alguém!!!,0.09394901,0.31237077713012695,0.09394901,0.0027656555,0.00414376,0.032028005,comentarios
comentario_1877275,tem mais leis vindo    so  esperar pra ver,0,0,tem mais leis vindo    so  esperar pra ver,0.01633588,0.282196044921875,0.01633588,0.0010585785,0.003607291,0.009431887,comentarios
comentario_2335606,E uma companheira ou é uma garota de programa?,0,0,E uma companheira ou é uma garota de programa?,0.009236055,0.32799506187438965,0.009236055,0.00039339066,0.001572409,0.0092228865,comentarios
comentario_1676693,"Eu acho que o Gustavo é demi-sexual,pesquisem sobre,é interessante,eu também sou e tem muitas pessoas que são mas não sabem,é legal saber sobre isso.",0,0,"Eu acho que o Gustavo é demi-sexual,pesquisem sobre,é interessante,eu também sou e tem muitas pessoas que são mas não sabem,é legal saber sobre isso.",0.25462922,0.27408313751220703,0.25462922,0.015350811,0.1232452,0.16868424,comentarios
comentario_2106526,Esse pai tem meu respeito. 👏🏻👏🏻👏🏻👏🏻,0,0,Esse pai tem meu respeito. 👏🏻👏🏻👏🏻👏🏻,0.0070369947,0.317028284072876,0.0070369947,0.00057697296,0.0018036455,0.0069333725,comentarios
comentario_716317,"Se tá on, tá liberado ué, seis inventa cada coisa",0,0,"Se tá on, tá liberado ué, seis inventa cada coisa",0.019603057,0.25609660148620605,0.019603057,0.000705719,0.0012394282,0.012566907,comentarios
comentario_238824,"Falou pouco, mas falou bosta 😂 ..... Em resumo: homem tem que mover montanhas, mulher não precisa fazer nada",1,1,"Falou pouco, mas falou bosta 😂 ..... Em resumo: homem tem que mover montanhas, mulher não precisa fazer nada",0.40189892,0.28307104110717773,0.39441586,0.023505108,0.29951343,0.40189892,comentarios
comentario_2936392,Mn ????? Q poha foi essa que aconteceu aqui?,0,0,Mn ????? Q poha foi essa que aconteceu aqui?,0.37751234,0.28557729721069336,0.37751234,0.021935565,0.008139528,0.11978693,comentarios
comentario_2965140,"Tu vai ficar pelancuda bem rapidinho aí tu vai pagar um preço bem alto, .não terás um homem do seu lado prá cuidar de vc , sabe porquê? Porque homens ricos pode escolher uma novinha , então fica tranquila sua hora de ser tratada como luxo vai chegar.😂😂😂😂",1,1,"Tu vai ficar pelancuda bem rapidinho aí tu vai pagar um preço bem alto, .não terás um homem do seu lado prá cuidar de vc , sabe porquê? Porque homens ricos pode escolher uma novinha , então fica tranquila sua hora de ser tratada como luxo vai chegar.😂😂😂😂",0.30464804,0.2906477451324463,0.30464804,0.020515325,0.053399716,0.26957804,comentarios
comentario_2100461,"QUANDO UMA MULHER FALA QUE TRANSOU COM APENAS 2 HOMENS, significa que ela deu apenas para dois betas provedores. Elas EXCLUIU DA CONTA todo os CAFAGESTES, todas as FODAS CASUAIS que deram, OS ANAIS GIRATÓRIOS, gargarejadas de porras e AS FODAS QUE NINGUEM SABE QUE OCORREU. As mulheres que se fazem de santinhas, quando estão longe de conhecidos agem sem freios morais. As mulheres que parece mais santinhas, quando estão longe de conhecidos são as mais perversas.https://youtu.be/chljBCFv5HA?si=Vw6vNaNAA-W8iJNe",1,1,"QUANDO UMA MULHER FALA QUE TRANSOU COM APENAS 2 HOMENS, significa que ela deu apenas para dois betas provedores. Elas EXCLUIU DA CONTA todo os CAFAGESTES, todas as FODAS CASUAIS que deram, OS ANAIS GIRATÓRIOS, gargarejadas de porras e AS FODAS QUE NINGUEM SABE QUE OCORREU. As mulheres que se fazem de santinhas, quando estão longe de conhecidos agem sem freios morais. As mulheres que parece mais santinhas, quando estão longe de conhecidos são as mais perversas.https://youtu.be/chljBCFv5HA?si=Vw6vNaNAA-W8iJNe",0.7510937,0.319627046585083,0.7510937,0.6127218,0.46028158,0.5739874,comentarios
comentario_1683377,Por que ninguém comenta sobre essa moda das mulheres usarem tanta maquiagem e filtro na cara para ficar desse jeito fake pra caralho?,1,1,Por que ninguém comenta sobre essa moda das mulheres usarem tanta maquiagem e filtro na cara para ficar desse jeito fake pra caralho?,0.5721988,0.2879302501678467,0.5721988,0.1762085,0.32768643,0.42743355,comentarios
comentario_392947,"   desse canal que posta muito assuntos negativos em relação as mulheres, sempre vejo esse homem nos vídeos desse canal. Note isso você mesmo e veja a expressão facial dele nos vídeos do canal que só aborda assuntos negativos referente as mulheres. Ele está passando uma imagem negativa sobre mulheres expondo somente assuntos que geram comentários de depreciação as mulheres.",0,0,"   desse canal que posta muito assuntos negativos em relação as mulheres, sempre vejo esse homem nos vídeos desse canal. Note isso você mesmo e veja a expressão facial dele nos vídeos do canal que só aborda assuntos negativos referente as mulheres. Ele está passando uma imagem negativa sobre mulheres expondo somente assuntos que geram comentários de depreciação as mulheres.",0.25462922,0.2742462158203125,0.25462922,0.007972717,0.17381613,0.110259406,comentarios
comentario_393739,"A raiva dela foi que ele fechou a porta pra que ela vira-se a pastora de relacionamento, afinal alguém que traiu falar de relacionamento feliz não iria dar certo.",0,0,"A raiva dela foi que ele fechou a porta pra que ela vira-se a pastora de relacionamento, afinal alguém que traiu falar de relacionamento feliz não iria dar certo.",0.028620722,0.289539098739624,0.028620722,0.00077724457,0.0025343532,0.01632893,comentarios
comentario_2679659,"Guri é muito inocente, a família dele tem que dar um basta nisso, não torço pro Sem Mundial, mas, não torço contra esse garoto",0,0,"Guri é muito inocente, a família dele tem que dar um basta nisso, não torço pro Sem Mundial, mas, não torço contra esse garoto",0.040430736,0.2854166030883789,0.040430736,0.0015068054,0.004180758,0.025413504,comentarios
comentario_2523908,"Essa mulher foi justa, flw tudo...",0,0,"Essa mulher foi justa, flw tudo...",0.10870059,0.2846560478210449,0.10870059,0.0060272217,0.013244915,0.027218282,comentarios
comentario_3024894,Como se beleza fosse tudo não tendo caráter a beleza não significa nada acorda pra vida,0,0,Como se beleza fosse tudo não tendo caráter a beleza não significa nada acorda pra vida,0.06579731,0.22820401191711426,0.06579731,0.001821518,0.0050687063,0.031036375,comentarios
comentario_639116,É melhor sozinho do que mal acompanhado com a digníssima dessa aí toda chata😂😂😂😂😂😂,1,1,É melhor sozinho do que mal acompanhado com a digníssima dessa aí toda chata😂😂😂😂😂😂,0.4596616,0.2969167232513428,0.4269174,0.023076924,0.022992345,0.4596616,comentarios
comentario_1722057,"Seja homem ou mulher, começou a fazer joguinho, não vale a pena uma pessoa assim na nossa vida.",0,0,"Seja homem ou mulher, começou a fazer joguinho, não vale a pena uma pessoa assim na nossa vida.",0.0048130783,0.2734184265136719,0.00012664234,1.1771917e-05,1.8426666e-05,0.0048130783,comentarios
comentario_2883098,FALSA ACUSAÇÃO DEVERIA TER PENA DE UNS 30 ANOS E SEM REDUCAO DE PENA !!! E F0D4 S3 QUEM DISCORDAR!!,0,1,FALSA ACUSAÇÃO DEVERIA TER PENA DE UNS 30 ANOS E SEM REDUCAO DE PENA !!! E F0D4 S3 QUEM DISCORDAR!!,0.3389984,0.28654909133911133,0.3389984,0.02458496,0.016762028,0.26957804,comentarios
comentario_59250,"Viva o feminismo , uhuuuuuu llViva Frida",0,0,"Viva o feminismo , uhuuuuuu llViva Frida",0.14950264,0.24290847778320312,0.14950264,0.0076675415,0.10221587,0.05144889,comentarios
comentario_53980,Que nem aquelas 700 mil crianças que foram consoladas pelos p ?,0,0,Que nem aquelas 700 mil crianças que foram consoladas pelos p ?,0.045131154,0.27166295051574707,0.045131154,0.0016117096,0.0073255757,0.027730936,comentarios
