id_comentario_anonimizado,comentario,final_misoginia,flag_misoginia,final_toxicidade,flag_toxicidade
comentario_1008453,"Estão solteiros porque não querem ter responsabilidades ,nem querem ficar preso em uma só mulher, safadeza está no DNA deles .",0,1,1,1
comentario_1495713,Ele tava possuído pelo 9 CASCOS do PT,0,1,1,1
comentario_51055,"Muita falta, jamais viveria sem meu pai, meu marido e meu filho. Os homens da minha vida são tudo para mim, juntamente com a minha mamãe.",0,1,0,1
comentario_1882146,Olha se envolver com uma msol talvez já deu certo no passado mais agora com essa intoxicação feminista elas são as piores pq tem os filhos que podem ser usados na socioafetiva pra prejudicar os caras eu vi uma matéria que no Brasil o reconhecimento da paternidade socioafetiva cresceu 22% cuidado senhores,1,1,1,1
comentario_1624418,"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",0,0,1,1
comentario_2389020,"Também não precisa acabar com a raça de vocês,por causa de algumas  loucas",1,1,1,1
comentario_1583300,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0,1,0,1
comentario_2338218,"Meu pai um dia me disse nunca coloque um anel de brilhante em uma mão lisa, e cuidado com o sorriso das feras.",0,0,0,0
comentario_1612217,O que tenho a dizer é: 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0,1,0,1
comentario_664708,tapa na cara aqui no Brasil só se auferido por uma mulher 😅,0,0,0,0
comentario_977852,"Vce tem uma certa razão,mas o ppr que disso? Homem ganha melhor que a mulher,e  as outras solteiras dão em cima mesmo...",1,1,1,1
comentario_836429,"Acho q sou beta ceboso, tenho fobia social e percebo q isso me distância das pessoas, principalmente mulheres enfim tbm sou beta nerd sou terrível em esportes e sou calvo , gosto de falar de filmes, séries,animes e teorias da conspiração.Infelizmente isso é pouco a atraente para as minas",0,0,0,1
comentario_430194,Concordo com você...Conselhos bons para a realidade da maioria do povo.,0,1,0,1
comentario_231247,"Tinha que ter feito o serviço completo e terminado tudo ali. Ao ficar, você deu tempo para ela se vingar de você depois causando mais danos ainda.",1,0,1,0
comentario_2608796,Parabéns pela sua atitude...Um homem de alto valor não fica sem trabalho porque quer.As fazes da vida chega pra todos... não importa se é homem ou mulher.,0,1,0,1
comentario_2756954,"HOMENS, não se iludam com essas mulheres/feministas, narcisistas, tóxicas e abusivas atualmente, pois se você quiser ter sérios e graves problemas na sua vida, passar por situações idênticas e muito piores a que outros homens estão passando ou já passaram, se tornar refém, ter a sua vida transformada num caos, num calvário, num inferno, perder a sua paz, a sua sanidade mental, a sua tranquilidade, a sua qualidade de vida, sua saúde, suas forças, suas ótimas noites de sono, seu bem-estar, sua alegria de viver, seu sossego, a sua liberdade, seu dinheiro/patrimônio, sofrer falsas acusações e ainda poder ser preso. É muito fácil: seja mais um a cair no golpe do namoro firme, do ficar noivo, do morar juntos e do casamento. Não tem erro, a sua vida nunca mais será a mesma. Assim, além de sofrer horrores, você descobrirá pela dor o quanto ser um homem solteiro convicto é uma dádiva, é maravilhoso e é acima de tudo a suprema felicidade. A vida é feita de escolhas. Então, faça as suas!!! REDPILL AND MGTOW FOREVER.",1,1,1,1
comentario_439184,"Esquece, esses caras querem fica bonito na mídia, a legítima defesa ela não pode coexistir com o monopólio da violência estatal. Vc  não tem direito e sim concessão estatal.",0,1,0,1
comentario_927749,Eu fui traída filha sempre fui uma mulher legal,0,0,0,1
comentario_2780441,Só tem aparênciaNem toda gp faz isso,1,0,0,1
comentario_271384,Deu no G1 que o Moreno Tatuado já está fazendo um regime e malhando os braços,0,1,0,1
comentario_1844357,"Terrorismo na veia de homens que não sabem quem são, não sabem viver...",0,1,0,0
comentario_1497886,Ter marido sem caráter muito melhor fica só eles não melhoram não só perca de tempo !,0,1,0,0
comentario_704368,"Sempre fui assim, porém fui chamada de chato e com o apoio da ordinária da mãe, preferiram me mandar embora de casa, porém não desisti da minha filha e por amor a ela contínuo cuidando dela mesmo nao morando mais juntos.",0,0,1,1
comentario_1884143,"Surreal bróder, mas essas pessoas que ganham muito dinheiro de maneira repentina acabam não tendo estrutura psicológica e emocional pra fazer bom uso do patrimônio.",0,1,0,0
comentario_1241138,"Nunca vi tanto fracassado em uma sessão de comentários, só não é mais fracassado de quem fez o video",0,1,1,1
comentario_2709199,"Enquanto isso, o Vilela do inteligência limitada quer chamar o bonzinho do Edu Guedes. AFF.",0,1,1,0
comentario_2621755,O pessoal criticando ela sem ter a consciência de que a vida é  dela e faz o quê  quer.,0,1,0,1
comentario_585589,"Chegando lá,vai deitar e dormir😂",0,1,0,1
comentario_77487,Bora traduzir porque tá veia .Frescura pra falar o óbvio.,0,1,0,0
comentario_1089178,"Eu faria a mesma coisa, mais que corta o coração 😢😢. Tão linda!!!😊😊.",0,1,0,1
comentario_258689,"A questão é ainda mais complexa porque envolve também a maternidade o que está afetando visivelmente a atual geração e assim sucessivamente. Nós mulheres devemos nos voltar para o feminino sagrado, para entender qual de fato é o nosso papel dentro da sociedade e conquistar o nosso verdadeiro espaço.",1,1,0,1
comentario_1642160,"o descaramento é tão grande, que nem disfarça o golpe. A melhor red, sempre vem delas mesmas.",1,0,1,1
comentario_376754,A mulher sempre acha que o homem quer fazer algo com ela ...e ela tem razão tem muito homem ruim igual ele falou nao importa a cor o que se leva em conta é a maldade...esse cara é uma boa pessoa com certeza tera alguém esperando a alma desse justo se um dia ele partir,1,0,1,0
comentario_2670460,kkk se der 360º volta pro mesmo lugar pow kkkkk,0,1,0,1
comentario_1551226,Tá mas é daí q ela é cristã? Princípios morais existem dentro e fora das crenças.,0,1,0,1
comentario_1299736,"O duro é ouvir essas doentes feminazis dizerem aquelas frases que homens não prestam, que são todos iguais e aquele monte de frases repetidas...Homens de verdade são assim...eu trabalho 14 horas por, trato minha esposa como um Rainha, pois ela se porta como uma..Homens assumem uma mulher a são capazes de amá la mesmo ela sendo desempregada, sem dinheiro.",1,1,1,1
comentario_1060718,"Meninos procuram meninas, Homens procuram Mulheres.",0,1,0,1
comentario_1351157,"Cheguei conhecer casais idosos quando era criança, segundo os relatos deles a sociedade formada por homens e mulheres eram outro nível, como a socidade está destruída! Lamentável!!!",0,1,0,0
comentario_2292130,Meu Deus do céu q mundo é esse Jesus,0,1,0,1
comentario_1553427,"  tá n mn, tipo eu entendo q n precisa escrever bem no yt e pd abreviar, mas algumas coisas são obrigatórias...",0,1,0,1
comentario_1209697,Ja sabia que era uma casa por causa da legenda,0,1,0,1
comentario_2771484,Eu acho que a maioria dos homens pensariam que os corpos deles pertencem a eles então vão reclamar,0,1,0,1
comentario_650457,"A primeira a ser machucada é a esposa chifruda que só não se sentirá machucada se não amar o marido e os filhos, claro, quando descobrirem o cafajeste do pai que têm e ficarem solidários com a dor da mãe 💥",0,1,1,0
comentario_2890260,"O Renan só fala merda, cara. Ele até tem um conteúdo legal, fala das leis e etc, mas o cara é todo arrogante, cheio de caras e bocas. É aquela coisa, pegar o que é bom do conteúdo dele, e o resto ignorar.",0,1,1,1
comentario_2314280,A decepção do Padrinho no início do vídeo é a mesma que a minha... KKKKKKKKKKKKKKKKKKKKKKK,0,1,0,1
comentario_1325041,"Gostei desse episódio e da convidada, ganhou mais um inscrito nas redes!",0,1,0,1
comentario_151917,Olha a voz dessa rapariga kkkkkk,1,0,1,1
comentario_1137856,"DO FUSCA, DO CHIFRE, DA MORTE  NINGUÉM  ESCAPA; ATÉ  PORQUE  O CORNO(A) NA MAIORIA  DAS  VEZES NEM FICA SABENDO.",0,1,0,1
comentario_1002073,"Só não entendi o rapaz com uma taça de vinho na mão, com essa cara sarcástica",0,1,0,1
comentario_386687,O catolicismo tá vindo com tudo,0,1,0,1
comentario_683099,Não tô afim de ser canalha nem cafajeste nem galinha nem malandro nem cara mau nem psicopata por causa de mulher. Se for assim continuo sozinho mesmo. E também não quero mulher assim.,0,1,0,1
comentario_2185944,"A red nunca falha, a casa da dignissima em péssimas condições e falando que não quer homem liso daqui a pouco acaba o gás dela 😂😂 e vem pedir pix.",1,0,1,0
comentario_1915551,"Não tenho filhos mas tenho um excelente carro uma vida boa cuidando da minha saúde um dinheiro guardado e se  Deus permitir em breve estudando medicina veterinária , e aprendi com o passar do tempo que pessoas que se consideram melhores por terem filhos ou casamento ""perfeito""devem ser ignoradas pois não vão agregar em nada",0,1,0,1
comentario_652229,Engole o choro. Assuma as consequências.,0,1,1,0
comentario_2304795,Não precisamos de religião. Os índios viviam muito bem sem essa porcaria.,0,1,0,0
comentario_2150068,"NUNCA que eu deixaria minha sogra sentar na parte de trás, ela é uma mulher mais de idade e merece respeito.",0,1,0,1
comentario_62821,"Hoje com 25 anos após anos e anos sem ver um video sobre esses temas hoje, me fez parar e prestar mais atenção sobre um video assim..",0,1,0,1
comentario_2790337,"É padrinho, é aquilo que você disse: "" nós estamos lascados ,"""" o que resta são os restos dos espólios e estar vivo e em pé, para podermos cavar as covas e enterrar os mortos dessa guerra.",0,1,0,0
comentario_1642042,Só quem trabalhou ou trabalha em um ambiente que só tem mulher sabe como funciona.Parece que vira uma chave na cabeça das fêmeas!,1,1,1,0
comentario_1685773,"Esses apresentadores são ruins demais, pqp",0,1,1,1
comentario_2137989,"Você só vai fazer ela feliz com seu dinheirinho...mas quem vai traça-la é outro cara, você não otário!!!😅😅",1,1,1,1
comentario_34484,"cara, a mulherada de 17-18 aqui na escola tá tudo virada na pomba gira!😂 Elas tão distribuindo..vc nem chega elas que chegam...precisa correr atrás de Tia Neide não",1,1,1,1
comentario_1104045,"Nada, cuida da tua vida pivete",0,1,1,1
comentario_2229499,"@  Pergunte pro seus políticos. Acho que é até impressionante que eles permitam as pessoas se esterilizarem aos 21 sem ter filhos, considerando nossa crise demográfica. Se você tem entre 18 e 21 talvez você possa criar uma história e mentir que já tem 2 filhos, se não me engano eles não investigam nada.",0,1,0,0
comentario_1289511,"Ela não tem motivos pra mandar ele embora, mais ele tem motivo pra ir embora. Mulher louca",1,1,1,1
comentario_259973,"Eles deveriam ser presos na hora em que abrissem o processo, mais o Brasil e formado por milhões de pessoas algumas com formação academia e. Vidas bem estruturadas e muitas com religiões diversas, mais as pessoas só criticam e xingam fazendo intrigas disso ou daquilo mais não agem temos que defender a atitude dessas empresas nos somos o Brasil temos que agir",0,1,1,0
comentario_2062341,50 mil é pouco. Falta ainda o boicote a esse tipinho de empresa!,0,1,1,0
comentario_153927,A igreja evangélica é a maior falcatrua á face da terra 😂,0,1,1,1
comentario_572199,"Eu faço amizade com as mães que levam filho no Parquinho uai.. 😅😅😅. Quando você gosta da conversa da pessoa, não tem nada demais. Não vi nada além de uma fofoqueira sem noção, ouvindo a conversa dos outros e ainda vindo passar vergonha no yt 😂😂",0,0,1,1
comentario_58314,"Pela cara dele, ele estava gostando. Isso é nojento, concordo com a fala dela, a decadência da raça humana, feminismo reverso.",0,1,1,0
comentario_1290401,"valeu Copini, fiz varias  anotações para aplicar em um futuro próximo obrigado pelas dicas. que seu conteúdo bom chegue em mais pessoas que precisam de conhecimento",0,1,0,1
comentario_820468,"homens entendam, pra um homem com condicionamento fisico o trabakho domestico parece mais leve etc mas pra mulher nao é cara, raciocina cara, se tem filhos a coisa piora, elas n tem tanto testo ou condicionamento q tu tem.e jamais desmereça ou faça pouco do papel da mulher. ja vi cara falar como se fosse facil ou mais facil etc mas n é, n existe só cansaço fisico, tb cansaço mental meu fi e o mental tb é ruim igual, os filhos por ex podem dar um cansaço mental q...ajude e como recompensa ela estara de melhor humor",0,0,0,1
comentario_875802,"Ela foi internada, e foi comprovado que ela tem problemas mentais e toma até remédios controlado.Por que vcs estão tratando como se fosse uma falta de caráter  ???? 🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️🤷🏾‍♂️ Doença é uma questão de caráter  ?????? Vcs que sujam a imagem da redphill.",0,1,1,0
comentario_139225,"Rsss! 😂😂😂 ""Você não falou que a gente é só amigo? Moço,  atende ela aqui por favor!""",0,1,0,1
comentario_1339354,Fica dando a entender que ela só vai entrar com a piriquita no relacionamento. Assim é bom D +. 😂😂,1,1,1,1
comentario_2576406,Também passei por uma situação assim 😢,0,1,0,1
comentario_1662657,"Os homens podem sofrer todo tipo de violência no Brasil e não tem proteção estatal , realmente não está dando pra viver no Brasil . Além da carga tributária e este socialismo que aí está tem estas leis sexistas e misândricas que não param de aprovar . É absurdo ! Este SC e Es são os estados onde fazem mais leis assim , estados feministas , realmente estou com ranso mais ainda do Brasil !",0,0,1,1
comentario_2259119,Claro  que  as  mulheres  precisam  se  cuidar   mais  quando  existe  amor e  foi  o  espírito  santo quem  colocou  o sentimento não  há   lugar pra outra mulher.,1,1,0,0
comentario_1368557,fico triste com uma noticia dessas ;),0,1,0,1
comentario_2609869,"@  mas no meu caso, nem dinheiro resolve. Kkkkk mas eu estou bem.",0,1,0,1
comentario_2018459,Melhor coisa: aplicar o dinheiro e pagar aluguel!,0,1,0,1
comentario_2464638,"Olha, sei não, um bola gato por uma pizza de 60 pila e uma carona, fazendo minhas contas e considerando o preço dos programas por aqui... olha que mando entregar a pizza pra não ter que aturar a conversa furada e me paga o bqt ali mesmo😂",1,1,1,1
comentario_2074455,"Irmão, eu não entendo porque as pessoas acham chocante pessoas do mundo do entretenimento que estão num relacionamento, traírem. Esperam o que?? As pessoas desse meio tem acesso a tudo e todos. Quando se tem poder, se usa. Pode ser músico, digital influencer, youtuber, artista, atleta, já é de se esperar. Segundo ponto: no mundo não existe justiça e nem lógica, e pra você que acredita em Deus, Deus também não tem sentido nenhum. Ele faz um cara de 1,90, branco, olho azul, cabelo dourado liso, forte e ao mesmo tempo um cara deficiente feio e fala que os dois são iguais. Acostume-se que o mundo tem sua base como a lei da selva. Se todos os nossos suprimentos e recursos acabarem, nos tornaremos assassinos, estupradores, ladrões em questao de dias. E não se importem com a moral, ela nunca existiu. É apenas o próprio ser humano",0,1,1,1
comentario_2169797,Só essa voz já embrulha o estômago,0,1,1,1
comentario_805163,A gente precisa mesmo e de Deus,0,1,0,1
comentario_534571,"Quando o cara asstir muito comedia de traição, stand de comédia que e6de ouratia e nao sabe nada de biologia kkkkNao houve contato físico kkkO cara nao tocou nela kkk",0,1,0,0
comentario_568831,"O cara é bombado, é alto ( 1.96), tem dinheiro, carro bom, paga tudo pra ela e ainda assim, ela não está satisfeita com.ele?Esse mercado sexual tá mais insano do que eu imaginava.",1,1,1,1
comentario_2988211,Parecem 02 idiotas olhando o prato pelo celular.,0,1,1,0
comentario_2104858,"Reparem que o ÚNICO que se da bem nessa história é o cara que não é casado, vai lá, come o abacaxi e vaza,os trouxas que são casado só se lascam.",0,0,1,1
comentario_1710277,"Homens não estão mais chegando nas mulheres por dois motivos:  1- acusações falsas de assédio 2 - O sexo está muito fácil, portanto não vale a pena se arriscar a ser preso por falsa acusação de assédio ou ser ridicularizado por alguma madame com o ego inflado.",1,1,1,1
comentario_1643929,"Mulher tem obrigação de trabalhar, assim como o homem. Ninguém tem obrigação de sustentar ninguém.",0,1,0,1
comentario_420575,"A roupa já define e anuncia que são marmitas, toda vez que aparece mulher com essa falta de pano.",1,1,1,1
comentario_1153996,"Nossa , que conversa desnecessaria  e a mulher então !!!!!!!",0,1,1,0
comentario_1623967,Renatão se acaba de rir com feno Grego kkkkkk. 😂😂😂,0,1,0,1
comentario_2784648,"O pior de tudo mano as vezes agente dá de tudo ah uma mulher até msm sem poder só pra agradar, mas vem outro que nunca deu ah ela nem um chiclete, e ela traí o marido e ainda quer que agente perdoa ponto final Fim sem choro.",1,1,1,1
comentario_2469328,Que um Cavaleiro Branco seja o Salvador dessa Balzaca em fim de carreira.,1,1,1,1
comentario_950371,"Nada a ver ,isso não é verdade ,quase todos os homens tá nem aí, quase todos estão assim no celular, nem tá nem aí pra mulher, nada a ver ..isso vai de caráter,",0,1,0,0
comentario_703163,Isso quer dizer dizer quando a mulher quer traiir ninguém segura,1,1,1,1
comentario_2621922,"Quando voce estiver envelhecida, ele te troca por outra mais nova e mais bonita. Voce estara usada e ninguem vai querer, sem emprego e desvalorizada.  Hoje voce tem um preço. Mas e igual carro novo, depois de usado a gente troca por outro e o usado nao vale quase nada.Vai chorar amargamente por ter se sujeitado ao papel de rap....a e destruir um lar, sera tarde demais. Acorda e sai dessa vida, caminho para o inferno.",1,1,1,1
comentario_1353753,"Tou na paz, faz tempo 🙌Don se identifica cmg",0,1,0,1
comentario_1673061,Esses caras ajudaram a aumentar a perseguição do Xandão! Denunciaram pessoas de direita! Sério Redcast que vcs tão colando com eles? Que decepção,0,1,0,0
comentario_765909,O contrário tá aq na minha cueca,0,1,1,0
comentario_2990439,Ficar como segunda opção  na vida de alguém  é  terrível! Quem te deixa nessa situação  não  merece nem ser descartado!Olhar pra trás  é  coisas de pessoas fracas!Deus é  a minha melhor opção!❤❤❤❤,0,1,0,1
comentario_1157017,Tá resolvido seu problema.pricyra um psiquiatra e se interna definitivamente.vc só precisa ser internada só isso,0,1,1,1
comentario_1676800,@  Cuidado com o mecanismo da projeção! Kkk,0,1,0,1
comentario_750615,"É , ÉEEEEEEEEEEEEEEEE ..................................",0,1,0,1
comentario_2752994,O Alexandre tá sofrendo porém se td isso for verdade tenho dó da Ana o retorno só Deus pra ter misericórdia 😢mas oro por eles,0,1,0,1
comentario_267306,Kkkkk até eu queria ser filho desse pai Um bom pai sabe dar uma boa educação e o melhor ensinamento que ninguém vai dar .,0,1,0,1
comentario_2556544,"O padre me chamou atenção por ir de bermuda na igreja católica mas fora da igreja eu uso bermuda, sou muito infantil pois prefiro comprar action figure do que pagar jantar para futura esposa de alguém",0,0,0,1
comentario_233589,"Mas uma mulher chamar o cara de viado nao pode ser considerado homofobia? Afinal o cara pode se declarar viado mesmo, e se considerar ofendido pela mocréia.E agora?",1,0,1,0
comentario_1608440,"Nossa tadinho... Não foi escondido , pois vc já sabe. Sai fora se vc conseguir",0,1,0,1
comentario_732794,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK A FUTURA DONZELA DOS SENHORES 😂😂😂😂😂😂,1,0,0,0
comentario_2677177,"O que eu vejo nesses videos é um ""declararam guerra entao é guerra"" porque elas estão forçando demais é como se fosse uma resposta pra nossas reclamações e exigencias daí nas entrelinhas desses videos elas estão falando ""é isso mesmo! Vamos continuar exigindo e agora descaradamente, homem liso fica sozinho, vc tem que pagar sim, nós não abaixaremos a regua, continuaremos e ate aumentaremos a exigencia"" mas claro é um grupo nao a sociedade feminina inteira. Digo isso porque reparem nesses videos se não esta uma coisa forçada?",1,0,0,0
comentario_1150453,"Esse tal(Cariani) é o da ""cocaína""?",0,1,0,1
comentario_867297,Cuidado o Barco ⛵⛵⛵⛵ soldado 🪖🪖🪖🪖🪖🪖🪖🪖🪖🪖🪖🙂🙂😊,0,1,0,1
comentario_1342166,Isso só serve para fazer sabão 😂😂😂😂,0,1,0,1
comentario_2088368,"Parabéns porque até no meio evangélico perdeu se para alguns o temor, também sou cristã evangélica, é agente as vezes não é bem compreendido quando nos recusamos de alguma coisa que venha mexer com a reputação",0,1,0,1
comentario_2012710,"Dubai não é islã cara, que merda, quer falar em islã de verdade é Irã, Iraque, onde a lei é a Sharia. Dubai flexibilizou as leis e regras para ocidentais  investir e morar ali, depois que o príncipe herdou o trono ele mudou tudo. Não fale o que não sabe, já disse isso mil vezes. Turquia, Dubai e outros estados que se diz islã mas não é, o islã de verdade é o que segue a Sharia, simples assim, o islã de verdade é o que a mulher quebrou a lei da Sharia é morta ou leva 90 chibatadas. Se você mudar as leis de um país pra possibilitar a entrada de ocidentais visando dinheiro dá nisso mesmo. Você tem que escolher a putaria e dinheiro ou as regras da Sharia e ficar ficar isolado.Se vc flexibilizar ou mudar as leis claro que as mulheres fará merda, não se trata de mulher ocidental e mulher oriental ser boa ou ruim, é as leis meu caro, no Irã ela se comporta porque a lei diz que se não se comportar morre, aqui no Brasil se a lei disse pode roubar, todo mundo vai roubar mesmo quem supostamente é correto, porque quando o correto e roubado a todo tempo ele percebe que ou rouba também ou morrerá de fome, acorda cacete, Dubai não segue mais o islã, islã é as leis da Sharia, não segue as leis da Sharia não é islã.",1,1,1,1
comentario_353238,Não precisamos de homens pra nada! Vcs pediram NÓS VAMOS RESPEITAR!,0,1,0,0
comentario_1493220,"Parabéns pelo canal! 1° Sem faculdade ,2°Sem CNH, 3°Sem veículo, 4°Sem residência própria, 5° dependente e tem dependente. #ESTOU FORA",0,1,1,0
comentario_2614648,"sim mano, pq mtas mulheres tbm foram violentadas ai procuram o prazer em mulher que tbm é bastante, ai vira uma bola de neve pq a dopamina sobe la em cima",1,0,1,1
comentario_192846,"Eu queria tanto saber as fontes desse Jr... é uma metralhadora de ""fatos"" infundados. Tenho piedade da mulher que tentar ter algo com ele, com certeza será desrespeitada a torto e à direita. Ainda bem que achei meu homem que me respeita e concorda que esse papinho redpill é papo de virjão.",0,1,1,1
comentario_890207,"Gente dê boa, essas mulheres estão sem noção da vida 😜 eu sou cara nem 😅 pensei que fosse gp😅",1,1,1,1
comentario_1385717,"É por isso que eu nunca continuei qmigo de ex em rede social.Terminou,eu não quero nem um bom dia.Ela segue o rumo dela e eu o meu.Quando vi esse post ey lembrei da minha última ex...Teeminou e ainda continuei falando ckm ela quase todo dia..Ela todo momento mandando mensagem,fim de semana fiavava perguntado se wu tava saindo,se ia sair(tipo monitorando) a mina tava manipulando,a ponto de wu mesmo ser ter mais poha nemhuma com ela,eu ripo nao saia com ninguém,nao flertava com ninguém..Um belo dia eu acordei de amanhã,dei um block nela em todas redes sociais e fyi vivwr minha vida.Puts ,parece que eu tinha tirado uma bola de ferro dos pés.",0,0,0,1
comentario_2940627,"Estão menos sensíveis.Nós anos 60, éramos livres na ditadura, a liberdade era interior..O que me fortalece é a religião.Amo !",0,1,1,1
comentario_2743962,Quando vc não tem razão tenta calar o opositor 😢,0,1,0,1
comentario_466552,"Se não for ela, vão ser outra. Quem não presta mesmo é o marido, que casou e deixou esposa e filhos pra viajar com amante.",0,1,1,1
comentario_1412233,"O rapaz do vídeo parece estar incomodado, na verdade isso é muito bom, bom mesmo, já são mulheres que tem uma visão e relação depreciativa com os homens, elas se abstendo de relacionamentos está ajudando esses mesmos homens, seria extremamente positivo se os homens boicotem as redes sociais e serviços de conteúdo adulto dessas digníssimas.",1,1,1,1
comentario_1492776,A mulher ?? Saco !!! Tem que ter saco pravaturar esse bando de.mimizento do caralh@,1,0,1,1
comentario_2832584,O Carioca só tava enxergando o lado dele... Ele não conseguia enxergar que a mulher não suportava ele...,0,1,1,0
comentario_1760077,"Mais claro que essa mensagem impossível, e p fechar com excelência, trecho do clube da luta , forte abraço Thomé , somos nós por nós mesmo!",0,1,0,1
comentario_273860,Olha a porcaria que esse país está se tornando bicho. Esses infelizes que fizeram o L ferrou todo mundo 🤦🏽‍♂️🤬,0,1,1,1
comentario_2054586,Parabéns mulheronas empoderadas....,0,0,0,1
comentario_745165,"rico é a única skill que precisa, o resto é papo de homem pobre amiguinho.",0,0,1,0
comentario_1014542,"Cara, uma certa vez uma pessoa , eu pedi pra ela pagar conta de água  o que ela fez, tacou a conta dentro da gaveta, eu confiei que ela pagaria, depois de dois meses , vieram e contaram,  ai ela me fala que eu teria que bancar a casa sozinho, hum depois disso, nao paguei mais nada. Se ela nao pagar a parte dela.",0,1,0,1
comentario_550572,E nem pra fazer inventário 😡péssimo.... ñ vou nem  contar  a estória.... ñ contrate parentes  pra lugar nenhum  parentes só  da prejuízo.,0,1,1,0
