text,final_misoginia,llm_response_misoginia
"É AI QUE MORA O GRANDE MEDO DO HOMEM  #homemdealtovalor #podcast #relaciomento #seducao #marivabo 📕 Descubra o poder do Método Alpha: método definitivo para transformar sua vida amorosa."" Acesse o link abaixo:https://bit.ly/47tJ0bQ- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram:   Tik Tok:  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - #desenvolvimentomasculino #seducao #homemdealtovalor #relacionamento",0,1
"Como você se identifica, um pet, um animal? 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual",0,1
“Eu sou boiceta sim” #rafaelaires #antiotario #redpill,0,1
"Você Nem Percebe, Mas Um Homem Apaixonado Sempre Age Assim... GRUPO TELEGRAM👇https://bit.ly/CanalRedpillfemininahttps://go.hotmart.com/Y97146592T?ap=c8bcCreditos Da Criação Do VideoRoteiro; Feito com Chat gpthttps://chatgpt.com/imagens Geradas com piclumenhttps://piclumen.com Capa do video feito com o canvahttps://www.canva.com/imagens da capa, fonte seaarthttps://www.seaart.ai/ptEdição completa do video, efeitos e animaçõeshttps://www.capcut.com/Voz do Video Marcushttps://www.capcut.com/Você Nem Percebe, Mas Um Homem Apaixonado Sempre Age Assim... Os Sinais Silenciosos de um Homem Apaixonado (Que Quase Ninguém Percebe!)Você sabe realmente reconhecer quando um homem está verdadeiramente apaixonado? 🧠💘Neste vídeo do canal Red Pill Feminina, revelamos os sinais silenciosos que os homens apaixonados demonstram — e que a maioria das mulheres ignora por completo. Esqueça as declarações de amor e os clichês dos filmes românticos: o verdadeiro afeto masculino aparece nas atitudes mais discretas, nos gestos consistentes e na vulnerabilidade seletiva.Vamos desvendar comportamentos reais, baseados em obras como *The Rational Male* de Rollo Tomassi, *No More Mr. Nice Guy* de Robert Glover, *The Way of the Superior Man* de David Deida e *The Way of Men* de Jack Donovan. Essas referências, unidas à visão crítica Red Pill, vão transformar a forma como você interpreta os homens e os relacionamentos.⚠️ Atenção: o sinal mais poderoso de que um homem está emocionalmente entregue só é revelado no final do vídeo — e você vai se surpreender com ele!📌 Neste vídeo você vai aprender:* Os sinais sutis de um homem apaixonado* Por que os gestos valem mais que as palavras* Como diferenciar vulnerabilidade verdadeira de manipulação emocional* O que significa para um homem mudar prioridades por amor* Quando aceitar que ele não está emocionalmente disponível✨ Assista até o final, comente sua experiência e compartilhe com uma amiga que precisa abrir os olhos. Vamos juntas desconstruir ilusões e construir compreensão real sobre o amor masculino.🔔 Inscreva-se no canal Red Pill Feminina para mais conteúdos sobre psicologia masculina, relacionamentos, conquista e desenvolvimento feminino.📲 Redes sociais | Contato | Cursos e mentorias (link na bio)\#RedPillFeminina #HomemApaixonado #SinaisDoAmor #PsicologiaMasculina #RelacionamentoSaudável #ConquistaFeminina #AmorDeVerdade #MulherDeAltoValor---### PARTE 02 – Referências, Obras e Autores Citados1. **Rollo Tomassi**   * Obra: *The Rational Male*     * Capítulo 4, páginas 37 a 45   * Obra: *The Rational Male – Positive Masculinity*     * Capítulo 2, página 282. **Robert Glover**   * Obra: *No More Mr. Nice Guy*     * Capítulo 7, página 1123. **David Deida**   * Obra: *The Way of the Superior Man*     * Capítulo 3, página 194. **Jack Donovan**   * Obra: *The Way of Men*     * Capítulo 5, página 67---### PARTE 03 – Palavras-Chave (duas listas com até 500 caracteres cada)**Palavras-chave principais (SEO e busca):**homem apaixonado, sinais de amor masculino, comportamento masculino, como saber se ele me ama, psicologia masculina, relacionamento saudável, conquista feminina, red pill feminina, amor verdadeiro, vulnerabilidade masculina, como identificar amor verdadeiro, sinais de que ele te ama, homem emocionalmente disponível, relacionamento de valor, como entender os homens, gestos que mostram amor, o que ele sente por você, sinais silenciosos do amor, homem que ama de verdade, amor ou interesse**Palavras-chave secundárias (temas relacionados e suporte de ranqueamento):**dicas de relacionamento, sinais do amor real, sinais que ele gosta de você, como conquistar um homem, como interpretar atitudes masculinas, linguagem do amor masculino, relacionamento sério, como saber se ele está apaixonado, sinais que ele está afim, homem comprometido, atitudes que revelam amor, amor e psicologia, comportamento red pill, sinais sutis do amor, como funciona a mente masculina, atitudes masculinas, amor verdadeiro sinais, como ele demonstra amor, relacionamento feminino, conexão emocional real",0,1
"Uma Mulher sábia #homem #homens #homemdevalor #homemmoderno #motivacao Uma mulher sábia Nunca mais seja enganado, saiba todos os truques usados por elas neste link 👉 hotm.art/Antitrouxa 👈#homem #homens #motivacao #homemmoderno  #homemdevalor",0,1
"VOCÊ TEM MATURIDADE EMOCIONAL? #SHORTS #shorts #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem #shorts✅👉 SERVIÇOS E CURSOS: Acesse o link abaixo 👇👇👇https://bit.ly/fabriciomentor✅👉 APRENDA O MÉTODO DA OBSESSÃO FEMININA Acesse o link abaixo 👇👇👇https://curso1.fabricioacunha.com.br/✅👉RECONQUISTE A SUA EX DE VOLTAAcesse o link abaixo 👇👇👇https://exdevolta.fabricioacunha.com.br/✅E-BOOK GRÁTIS:  ""COMO SUPERAR UM TÉRMINO EM 8 PASSOS""👇👇👇https://fabricioacunha.com.br/superar-um-terminoVocê será um expert na paquera e sedução. Aprenda a conquistar mulheres em qualquer lugar.Seja um homem atraente e comece agora a conquistar qualquer tipo de mulher!Com essas dicas você pode seduzir qualquer mulher e disparar os gatilhos de atração nela!!Seja um homem de atitude e auto confiante!!#CONQUISTEQUALQUERMULHER#GATILHOS_DA_ATRAÇÃO#SEJA_ATRAENTE#HOMEMATRAENTE",0,1
Homens com 4C são os mais cobiçados. 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,1
Acha certo amigo de serviço mandar meme p esposa? Ela diz ser normal. Ela n muda. #redpill,0,1
"Cuidado com a Cultura Woke | A Nova Ditadura Disfarçada de Inclusão Cuidado com a Cultura Woke | A Nova Ditadura Disfarçada de InclusãoEles dizem que é sobre empatia.Sobre igualdade.Sobre justiça social.Mas se você ousar discordar… você é “cancelado”.A cultura woke não é sobre liberdade.É sobre controle.É sobre medo.É sobre reprogramar você pra aceitar tudo — até o absurdo — em nome da aceitação.Neste vídeo você vai entender:• Como a cultura woke sequestrou o debate, a verdade e a masculinidade• Por que o medo de ofender virou uma arma de censura disfarçada• E como homens fortes e conscientes se tornam inimigos naturais desse novo sistema de pensamentoAssista até o fim.Porque hoje você se cala pra “evitar treta”…Amanhã, será silenciado por pensar.---HASHTAGS:#CulturaWoke #SaiaDaMatrix #ControleSocial #LiberdadeDeExpressao #HomemDesperto #VelhoSábio #Cancelamento #VerdadeProibida #NovaDitadura---",0,1
"Peguei minha noiva mandando foto íntima para o meu pai, cabe dano moral? ",0,1
"SE VOCÊ NÃO TEM DINHEIRO, VOCÊ NÃO É NINGUÉM #relacionamento #sedução #namoro #conquistarmulheres ",0,1
"A Verdade Sobre o ""Respeito"" | Como Virou uma Coleira Para Controlar Homens de Verdade. A Verdade Sobre o ""Respeito"" | Como Virou uma Coleira Para Controlar Homens de Verdade.DESCRIÇÃO:""Respeite sempre.""""Seja educado.""""Não fale alto.""""Não reaja.""Essas frases parecem nobres, mas escondem uma engenharia social covarde.A cultura do ‘respeito’ foi sequestrada.Hoje ela não serve mais pra equilibrar relações —serve pra castrar homens.Serve pra transformar líderes em cordeiros.Serve pra controlar sua raiva legítima, sua coragem, sua postura dominante.Você virou um cão domesticado, preso por uma coleira chamada “bom comportamento”.Neste vídeo, você vai entender:• Como o conceito de respeito foi manipulado pra reprimir a masculinidade autêntica• Por que homens hoje têm medo de falar, de confrontar, de liderar• E o que você precisa fazer pra romper essa coleira mental e voltar a agir como um homem livreAssista até o fim.Porque o respeito que o sistema exige… é submissão disfarçada.---HASHTAGS:#ColeiraDoRespeito #DespertarMasculino #HomemDeVerdade #SaiaDaMatrix #ManipulaçãoSocial #VerdadeNuaECrua #CastrandoHomens #RespeitoOuControle #VelhoSábio",0,1
"Quem quer vai atrás, faz acontecer. Você acredita que vale para mulheres também? 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual",0,1
Ensinando uma lição valiosa aos meus filhos 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,1
Casamento é uma instituição falida 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,1
MULHER TRAÍ O MARIDO COM O SOGRO E ESTÁ GRÁVIDA DE GÊMEOS! #memes #humor #amelhorredpillvemdelas seja bem vindo a mais um vídeo do canal Não se esqueça inscrever no CANAL e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo.MULHER TRAÍ O MARIDO COM O SOGRO E ESTÁ GRÁVIDA DE GÊMEOS!,0,1
Mulher gosta mesmo desse tipo de homem?,0,1
MULHER FALA SOBRE AS QUE PAGA COISAS PARA OS HOMENS! #humor #memes #amelhorredpillvemdelas seja bem vindo a mais um vídeo do canal Não se esqueça inscrever no CANAL e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo.MULHER FALA SOBRE AS QUE PAGA COISAS PARA OS HOMENS!,0,1
O homem que segue várias mulheres 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,0,1
MULHER DIZ QUE COMPROU O SEU MARIDO! #humor #memes #amelhorredpillvemdelas #comedia seja bem vindo a mais um vídeo do canal Não se esqueça inscrever no CANAL e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo.MULHER DIZ QUE COMPROU O SEU MARIDO!,0,1
Como pensa uma Mulher que só que validação social #namoro #seducao #homemdevalor #conquista,0,1
"MULHER RESPODENDO O PORQUÊ DE TANTA MULHER NA INTERNET RECLAMANDO DE HOMEM! Olá! seja bem vindo a mais um video do canal, hoje vamos falar, sobre MULHER RESPODENDO O PORQUÊ DE TANTA MULHER NA INTERNET RECLAMANDO DE HOMEM!. não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum video. vamos começar;",0,1
MULHER FALANDO MAL DOS HOMENS REDPILL!  #amelhorredpillvemdelas #memes #humor seja bem vindo a mais um vídeo do canal Não se esqueça inscrever no CANAL e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo.,0,1
"HOMEM É PRESO POR PENSÃO SENDO QUE ELE NÃO TEM FILHO! VEJA COISAS QUE SÓ ACONTECE AQUI! seja bem vindo a mais um vídeo do canal, hoje vamos ver! HOMEM É PRESO POR PENSÃO SENDO QUE ELE NÃO TEM FILHO! VEJA COISAS QUE SÓ ACONTECE AQUI!Não se esqueça inscrever no CANAL e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo. vamos começaR",0,1
Ela era noiva e estava tendo um caso com o amigo gay 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,1
"Homem tentando conhecer uma mulher hoje em dia. HAHAHA | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",0,1
"O que Acontece Quando Você Ignora um Homem e Volta? GRUPO TELEGRAM👇https://bit.ly/CanalRedpillfemininahttps://go.hotmart.com/Y97146592T?ap=c8bcCreditos Da Criação Do VideoRoteiro; Feito com Chat gpthttps://chatgpt.com/imagens Geradas com piclumenhttps://piclumen.com Capa do video feito com o canvahttps://www.canva.com/imagens da capa, fonte seaarthttps://www.seaart.ai/ptEdição completa do video, efeitos e animaçõeshttps://www.capcut.com/Voz do Video Marcushttps://www.capcut.com/Ignore um Homem de volta e veja o que acontece (ele não vai aguentar...)Você já percebeu como muitos homens só valorizam uma mulher quando ela vai embora? Neste vídeo poderoso do canal **Red Pill Feminina**, você vai descobrir **o impacto psicológico do silêncio feminino** e **como a ausência pode ser sua maior arma de valor**. Baseado em autores como **Rollo Tomassi, Robert Glover, David Deida, Roger Devlin, Corey Wayne** e nas regras do clássico **“As Regras”**, revelamos **o que acontece quando uma mulher de alto valor para de correr atrás e desaparece emocionalmente da vida de um homem**. Prepare-se para uma verdadeira virada de chave que pode transformar seus relacionamentos. 💔➡️🔥👉 Inscreva-se no canal, curta, comente e compartilhe com aquela amiga que precisa acordar para o próprio valor.📢 Comente: **""Eu sou meu próprio resgate""** para fortalecer essa comunidade de mulheres despertas e conscientes.💡 **Assista até o final** para entender o que acontece quando ele percebe que não pode mais te alcançar… e por que isso muda tudo.---### ✅ **PARTE 02 – Referências, obras e autores citados no roteiro**1. **Rollo Tomassi**   * Obra: *The Rational Male*   * Capítulo 10, páginas 5 a 82. **Robert Glover**   * Obra: *No More Mr. Nice Guy*   * Capítulo 4, páginas 29 a 323. **David Deida**   * Obra: *The Way of the Superior Man*   * Capítulo 6, páginas 40 a 424. **Roger Devlin**   * Obra: *Sexual Utopia in Power* (ensaio)   * Capítulo 3, páginas 18 a 215. **Ellen Fein e Sherrie Schneider**   * Obra: *As Regras – O Guia para Conquistar o Homem dos Seus Sonhos*   * Capítulo 7, páginas 49 a 536. **Corey Wayne**   * Obra: *How to Be a 3% Man*   * Capítulo 14, páginas 112 a 117---### ✅ **PARTE 03 – Palavras-chave para SEO (até 500 caracteres cada)****Palavras-chave (lista 1):**relacionamentos amorosos, red pill feminina, psicologia masculina, como conquistar um homem, homens difíceis, afastamento estratégico, valor feminino, mulher de alto valor, ausência feminina, poder do silêncio, mente masculina, relacionamento tóxico, jogo da conquista, valor percebido, autores red pill, sumir e fazer falta, reações masculinas, técnicas de sedução, comportamento masculino, como fazer ele correr atrás**Palavras-chave (lista 2):**Rollo Tomassi, Robert Glover, David Deida, Roger Devlin, Corey Wayne, As Regras livro, The Rational Male, No More Mr Nice Guy, The Way of the Superior Man, Sexual Utopia in Power, How to Be a 3% Man, psicologia do homem, desafio emocional, mulher emocionalmente forte, sumiço estratégico, ausência como arma, silêncio como resposta, reconquista amorosa, autoafirmação feminina, mulher irresistível",0,1
"Desculpas das mulheres, se liga! 😕 ",0,1
"ELA NÃO GOSTA DE HOMEM INSEGURO FAZ FORÇA PARA GOSTAR DE HOMEM! Olá! seja bem vindo a mais um video do canal, hoje vamos falar, sobre o ELA NÃO GOSTA DE HOMEM INSEGURO FAZ FORÇA PARA GOSTAR DE HOMEM! . não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum video. vamos começar;",0,1
Eu virei uma “velha” conservadora 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,1
"MULHER FALOU QUE ELAS NÃO ESTÃO NEM AÍ PARA AGRADAR OS HOMENS! seja bem vindo a mais um vídeo do canal, hoje vamos MULHER FALOU QUE ELAS NÃO ESTÃO NEM AÍ PARA AGRADAR OS HOMENS!  não se esqueça de se inscrever no CANAL e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo. vamos começar",0,1
"Homens não demonstram amor com postagens… mas com presença, ação e proteção | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",0,1
"Coisas Importantes: O passado da mulher e o futuro do homem | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",0,1
"MULHER ATACANDO A RED! seja bem vindo a mais um vídeo do canal, hoje vamos SOBRE MULHER ATACANDO A RED! não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo. vamos começar;",0,1
Você Não Precisa Dar Satisfações Para Ninguém! Priscilla Andrade - Por isso você NÃO é VALORIZADA... | #260Episódio completo: https://www.youtube.com/watch?v=myHZhN3Xr6s&t=1074sCanal: PAPO MILGRAUhttps://www.youtube.com/ Canal FilhasdeEva por Priscilla Andrade:https://www.youtube.com/ - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 👑 Deixe o seu like e comentário!📕 Aprenda como conquistar qualquer mulher. Acesse o link: https://bit.ly/47tJ0bQ - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 👑 Deixe o seu like e comentário!- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram:   Tik Tok:   - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - #desenvolvimentomasculino #seducao #homemdealtovalor #relacionamento,0,1
O Que Seu Parceiro Não Presta Revela Sobre Sua Personalidade! Ana Paula (Dona Ana) - Por isso as MULHERES largam os HOMENS BONS... | #267Episódio completo: https://www.youtube.com/watch?v=sJ_kq3qvdC8Canal: PAPO MILGRAUhttps://www.youtube.com/ Convidada: Ana Paula Limahttps://www.youtube.com/ - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 👑 Deixe o seu like e comentário!📕 Aprenda como conquistar qualquer mulher. Acesse o link: https://bit.ly/47tJ0bQ - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 👑 Deixe o seu like e comentário!- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram:   Tik Tok:   - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - #desenvolvimentomasculino #seducao #homemdealtovalor #relacionamento #psicologiacomportamental #psicologaderelacionamento #inteligenciaemocional #linguagemcorporal,0,1
"Homem que quer algo sério mostra com atitudes, não com palavras. | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",0,1
Empresário faleceu e a viúva casou com o personal após 3 meses 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,0,1
"O MAIOR CONSELHO de Alexandre Corrêa (ex de Ana Hickman) para TODOS os HOMENS ⚜️ Você sabia que temos uma clube de assinatura reunindo o melhor do desenvolvimento pessoal masculino? Entre agora e faça parte do Conselho: https://bit.ly/49X2GXo⚜️ Deseja encontrar o seu propósito e encontrar sentido em tudo o que faz? Conheça as aulas de nosso curso Vocação e através deste conhecimento dê significado a sua vida. → https://bit.ly/3qw7PUkAlexandre Corrêa, ex de Ana Hickman, concede entrevista ao Redcast e dá conselhos a todos os homens sobre casamento e sobre a vida.📚 Livros que indico• A História da Virilidade ➽ https://amzn.to/3QJBEs0• O Código dos Homens ➽ https://amzn.to/3JVDGD6• Disciplina é Liberdade ➽ https://amzn.to/3QmTXDz• Responsabilidade Extrema ➽ https://amzn.to/3pgHxRI• Hábitos Atômicos ➽ https://amzn.to/3SMBlyt• A Coragem de Não Agradar ➽ https://amzn.to/3B6IPnY• A Arte de Fazer Acontencer➽ https://amzn.to/3B7sL5D• Como Fazer Amigos E Influenciar Pessoas ➽ https://amzn.to/3qJmpVj• A Educação Da Vontade ➽ https://amzn.to/3DhWQSJ• A Vida Intelectual ➽ https://amzn.to/3QwDrQA• Como Ler Livros ➽ https://amzn.to/3Qpumt2• Como Estudar E Como Aprender ➽ https://amzn.to/3RJmpQE• O Ego É o Seu Inimigo ➽ https://amzn.to/3eC5eCe• A Arte De Viver Melhor ➽ https://amzn.to/3U8ua4y🎥 Ferramentas De Estudo:• Kindle 10a. geração ➽ https://amzn.to/3AknDvB• Caderno Preto Minimalista ➽ https://amzn.to/3xaI643• Bloco Notas Rápidas ➽ https://amzn.to/3AVkbXq🎥 Equipamentos que uso:• Webcam Logitech C920: https://amzn.to/3QGFP7X• Microfone Fifine K669B: https://amzn.to/3QlZHxj• Microfone lapela ECMLV1: https://amzn.to/3SMHhro• Monitor LG 24ML600M: https://amzn.to/3w3omyD• Ring Light 6 Polegadas 36: https://amzn.to/3PrLjm2• HD Externo 1TB USB 3.0 Seagate: https://amzn.to/3A1oRe2• Braço Articulado: https://amzn.to/3bQalxq• Bastão De Luz Brastoy: https://amzn.to/3QIWrfu★ Vitrine Completa de indicações: https://amzn.to/45ziGLW📲 Redes sociais:◼️ Telegram: https://t.me/projetoconselho◼️ Instagram: https://www.instagram.com/projetoconselho◼️ Twitter: https://twitter.com/projetoconselho✂️ Canal secundário: https://www.youtube.com/ ⭐ Quer conversar comigo?Traga suas questões, agende uma consultoria online: ➤ https://bit.ly/3QZ6Cjp◼️ Contato comercial E PIX ◼️➤ contatoprojetoconselho .com--  --  --  --  --  --  --  --  --  --  --  --  --  --  --  --Sobre o canal:Bem-vindo ao Projeto Conselho, espaço de desenvolvimento pessoal masculino e inteligência emocional com o intuito de te ajudar a se tornar um homem melhor. Esse é o meu maior objetivo.",0,1
Namorada só posta ft do rolê e n posta cmg será se sou cc..o?(Pfv não fala meu nome),0,1
"Tem uma menina no meu serviço que namora e vive querendo falar comigo, o q... ",0,1
